data,pim
2002-01-01,84.4
2002-02-01,81.2
2002-03-01,90.2
2002-04-01,92.8
2002-05-01,93.7
2002-06-01,90.3
2002-07-01,97.0
2002-08-01,97.4
2002-09-01,95.7
2002-10-01,103.9
2002-11-01,97.8
2002-12-01,86.9
2003-01-01,86.2
2003-02-01,83.6
2003-03-01,90.2
2003-04-01,89.2
2003-05-01,92.9
2003-06-01,88.9
2003-07-01,94.8
2003-08-01,95.1
2003-09-01,99.8
2003-10-01,104.9
2003-11-01,98.6
2003-12-01,90.7
2004-01-01,89.5
2004-02-01,86.3
2004-03-01,101.3
2004-04-01,95.8
2004-05-01,100.6
2004-06-01,100.4
2004-07-01,105.0
2004-08-01,107.4
2004-09-01,107.4
2004-10-01,108.9
2004-11-01,107.0
2004-12-01,98.7
2005-01-01,94.4
2005-02-01,89.0
2005-03-01,102.6
2005-04-01,101.4
2005-05-01,106.2
2005-06-01,106.5
2005-07-01,105.5
2005-08-01,111.4
2005-09-01,107.2
2005-10-01,109.2
2005-11-01,107.7
2005-12-01,100.9
2006-01-01,97.5
2006-02-01,93.5
2006-03-01,107.7
2006-04-01,99.8
2006-05-01,111.1
2006-06-01,106.2
2006-07-01,109.3
2006-08-01,114.9
2006-09-01,108.7
2006-10-01,113.6
2006-11-01,111.7
2006-12-01,101.3
2007-01-01,101.4
2007-02-01,96.2
2007-03-01,112.4
2007-04-01,105.6
2007-05-01,116.4
2007-06-01,112.9
2007-07-01,116.3
2007-08-01,122.3
2007-09-01,114.6
2007-10-01,125.7
2007-11-01,119.3
2007-12-01,107.9
2008-01-01,110.5
2008-02-01,106.1
2008-03-01,113.9
2008-04-01,115.6
2008-05-01,119.4
2008-06-01,120.3
2008-07-01,126.4
2008-08-01,124.6
2008-09-01,125.1
2008-10-01,126.3
2008-11-01,112.1
2008-12-01,92.2
2009-01-01,91.7
2009-02-01,88.6
2009-03-01,103.2
2009-04-01,99.3
2009-05-01,106.4
2009-06-01,107.4
2009-07-01,113.9
2009-08-01,116.1
2009-09-01,115.9
2009-10-01,123.1
2009-11-01,118.1
2009-12-01,109.6
2010-01-01,106.3
2010-02-01,103.7
2010-03-01,122.4
2010-04-01,115.7
2010-05-01,121.5
2010-06-01,119.4
2010-07-01,124.6
2010-08-01,126.0
2010-09-01,123.3
2010-10-01,125.5
2010-11-01,124.4
2010-12-01,112.5
2011-01-01,108.6
2011-02-01,111.2
2011-03-01,121.6
2011-04-01,113.6
2011-05-01,124.8
2011-06-01,119.8
2011-07-01,123.6
2011-08-01,129.1
2011-09-01,122.1
2011-10-01,123.8
2011-11-01,121.4
2011-12-01,111.5
2012-01-01,103.4
2012-02-01,104.7
2012-03-01,116.2
2012-04-01,108.1
2012-05-01,119.4
2012-06-01,114.5
2012-07-01,121.8
2012-08-01,130.0
2012-09-01,120.5
2012-10-01,130.3
2012-11-01,122.2
2012-12-01,107.5
2013-01-01,110.1
2013-02-01,102.6
2013-03-01,113.9
2013-04-01,118.7
2013-05-01,122.3
2013-06-01,118.5
2013-07-01,125.9
2013-08-01,130.6
2013-09-01,125.0
2013-10-01,131.2
2013-11-01,123.7
2013-12-01,105.0
2014-01-01,107.9
2014-02-01,107.5
2014-03-01,113.4
2014-04-01,111.9
2014-05-01,118.5
2014-06-01,110.6
2014-07-01,121.7
2014-08-01,123.9
2014-09-01,123.1
2014-10-01,127.3
2014-11-01,116.3
2014-12-01,102.2
2015-01-01,102.7
2015-02-01,97.6
2015-03-01,109.9
2015-04-01,103.5
2015-05-01,108.4
2015-06-01,107.8
2015-07-01,111.2
2015-08-01,113.7
2015-09-01,109.9
2015-10-01,113.3
2015-11-01,102.0
2015-12-01,90.0
2016-01-01,88.9
2016-02-01,88.4
2016-03-01,97.5
2016-04-01,96.7
2016-05-01,100.5
2016-06-01,102.1
2016-07-01,104.4
2016-08-01,108.4
2016-09-01,105.7
2016-10-01,105.1
2016-11-01,100.8
2016-12-01,90.0
2017-01-01,90.8
2017-02-01,88.4
2017-03-01,99.6
2017-04-01,92.4
2017-05-01,105.0
2017-06-01,103.1
2017-07-01,107.3
2017-08-01,112.6
2017-09-01,108.3
2017-10-01,110.9
2017-11-01,105.6
2017-12-01,94.4
2018-01-01,95.9
2018-02-01,90.0
2018-03-01,100.5
2018-04-01,100.8
2018-05-01,98.4
2018-06-01,106.1
2018-07-01,111.6
2018-08-01,114.5
2018-09-01,105.7
